series,model,run_id,seed,fold,accuracy,precision,recall,f1,roc_auc,n_test
original,LinearSVM,s45_f3,45,3,0.9206275957544993,0.9033255993812839,0.9613168724279836,0.9314194577352473,0.952587578241173,2167
original,LinearSVM,s45_f4,45,4,0.9210890632210429,0.9077404222048475,0.9563426688632619,0.9314079422382672,0.9466853135247919,2167
original,LinearSVM,s46_f0,46,0,0.9132841328413284,0.897138437741686,0.9547325102880658,0.9250398724082934,0.9453227624266449,2168
original,LinearSVM,s46_f1,46,1,0.9173973234886941,0.9009287925696594,0.9580246913580247,0.9285999202233746,0.9492716222291385,2167
original,LinearSVM,s46_f2,46,2,0.9238578680203046,0.9133858267716536,0.9547325102880658,0.9336016096579477,0.959873517308158,2167
original,LinearSVM,s46_f3,46,3,0.928011075219197,0.9152941176470588,0.9604938271604938,0.9373493975903614,0.9596798595981603,2167
original,LinearSVM,s46_f4,46,4,0.915089986155976,0.9010903426791277,0.9530477759472817,0.9263410728582866,0.9440844917031277,2167
original,LinearSVM,s47_f0,47,0,0.9169741697416974,0.9033515198752923,0.9539094650205762,0.9279423538831065,0.951546124648608,2168
original,LinearSVM,s47_f1,47,1,0.915089986155976,0.8993028659953525,0.9555555555555556,0.9265762170790104,0.953144344157416,2167
original,LinearSVM,s47_f2,47,2,0.9155514536225197,0.8987635239567233,0.9572016460905349,0.9270625747309685,0.9481840266970984,2167
original,LinearSVM,s47_f3,47,3,0.9215505306875865,0.90852228303362,0.9563786008230453,0.9318364073777065,0.9553441747069199,2167
original,LinearSVM,s47_f4,47,4,0.9252422704199353,0.9128728414442701,0.9579901153212521,0.934887459807074,0.9496616943632438,2167
original,LinearSVM,s48_f0,48,0,0.9142066420664207,0.9047993705743509,0.9465020576131687,0.9251810136765889,0.9470267165848372,2168
original,LinearSVM,s48_f1,48,1,0.9146285186894324,0.8998447204968945,0.9539094650205762,0.9260886935677187,0.9547740083687797,2167
original,LinearSVM,s48_f2,48,2,0.925703737886479,0.9130094043887147,0.9588477366255144,0.9353673223604978,0.9514282256112321,2167
original,LinearSVM,s48_f3,48,3,0.9192431933548685,0.9043545878693624,0.9572016460905349,0.9300279888044782,0.9500946674966282,2167
original,LinearSVM,s48_f4,48,4,0.9229349330872173,0.9023827824750192,0.9670510708401977,0.9335984095427435,0.9543460259892026,2167
original,NeuralNet,s42_f0,42,0,0.9031365313653137,0.9142621599340478,0.9127572016460905,0.913509060955519,0.9362830826629358,2168
original,NeuralNet,s42_f1,42,1,0.8924780802953391,0.8946945337620579,0.9160493827160494,0.9052460349735665,0.921865598091088,2167
original,NeuralNet,s42_f2,42,2,0.9072450392247347,0.9049520766773163,0.9325102880658436,0.9185245237130117,0.9516024310958952,2167
original,NeuralNet,s42_f3,42,3,0.8966312874942317,0.8892380204241949,0.9316872427983539,0.909967845659164,0.9378855863332987,2167
original,NeuralNet,s42_f4,42,4,0.9021688970927549,0.8901869158878505,0.9415156507413509,0.9151321056845476,0.9412533212555168,2167
original,NeuralNet,s43_f0,43,0,0.8925276752767528,0.8736681887366818,0.9448559670781893,0.907868722815342,0.9388916957064328,2168
original,NeuralNet,s43_f1,43,1,0.9017074296262113,0.9033816425120773,0.9234567901234568,0.9133089133089133,0.9428891309610263,2167
original,NeuralNet,s43_f2,43,2,0.8883248730964467,0.8870326173428799,0.9176954732510288,0.9021035598705501,0.9288943355119826,2167
original,NeuralNet,s43_f3,43,3,0.8966312874942317,0.8948207171314742,0.9242798353909465,0.9093117408906882,0.934067330635958,2167
