series,model,accuracy,precision,recall,f1,roc_auc,roc_auc_macro,duration_sec,run_id,seed,fold,n_test
lemmatized,LinearSVM,0.9275830258302583,0.9185126582278481,0.9555555555555556,0.936668011294877,0.9526977834777764,,,s42_f0,42.0,0.0,2168.0
lemmatized,LinearSVM,0.9155514536225197,0.9056603773584906,0.9481481481481482,0.9264173703256936,0.9414047100321611,,,s42_f1,42.0,1.0,2167.0
lemmatized,LinearSVM,0.9206275957544993,0.9116022099447514,0.9506172839506173,0.9307010475423045,0.9469913891482519,,,s42_f2,42.0,2.0,2167.0
lemmatized,LinearSVM,0.9187817258883249,0.8974751338944147,0.9654320987654321,0.9302141157811261,0.945458553791887,,,s42_f3,42.0,3.0,2167.0
lemmatized,LinearSVM,0.9243193354868482,0.91015625,0.9596375617792422,0.9342421812349639,0.9578812075281214,,,s42_f4,42.0,4.0,2167.0
lemmatized,LinearSVM,0.9252767527675276,0.9116497263487099,0.9596707818930041,0.9350441058540497,0.9473423756040055,,,s43_f0,43.0,0.0,2168.0
lemmatized,LinearSVM,0.925703737886479,0.91171875,0.9604938271604938,0.9354709418837676,0.9555642009890375,,,s43_f1,43.0,1.0,2167.0
lemmatized,LinearSVM,0.9090909090909091,0.8861911987860395,0.9613168724279836,0.9222266087643111,0.9456937095825985,,,s43_f2,43.0,2.0,2167.0
lemmatized,LinearSVM,0.9224734656206738,0.9138339920948617,0.951440329218107,0.932258064516129,0.9481127018708718,,,s43_f3,43.0,3.0,2167.0
lemmatized,LinearSVM,0.9247808029533918,0.9193934557063048,0.9489291598023064,0.9339278475881637,0.9519517832354605,,,s43_f4,43.0,4.0,2167.0
lemmatized,LinearSVM,0.9174354243542435,0.9117647058823529,0.9440329218106996,0.9276182773958754,0.9481110117929519,,,s44_f0,44.0,0.0,2168.0
lemmatized,LinearSVM,0.9247808029533918,0.9090202177293935,0.9621399176954732,0.9348260695721712,0.9489400698551026,,,s44_f1,44.0,1.0,2167.0
lemmatized,LinearSVM,0.9183202584217812,0.9029503105590062,0.9572016460905349,0.9292848581701958,0.9466766953695058,,,s44_f2,44.0,2.0,2167.0
lemmatized,LinearSVM,0.925703737886479,0.9156151419558359,0.9555555555555556,0.9351590817559404,0.9558335062420029,,,s44_f3,44.0,3.0,2167.0
lemmatized,LinearSVM,0.9201661282879557,0.9050583657587549,0.9579901153212521,0.9307723089235694,0.9492796527397225,,,s44_f4,44.0,4.0,2167.0
lemmatized,LinearSVM,0.915590405904059,0.9056603773584906,0.9481481481481482,0.9264173703256936,0.9431390583774867,,,s45_f0,45.0,0.0,2168.0
lemmatized,LinearSVM,0.928011075219197,0.9166011014948859,0.9588477366255144,0.9372485921158488,0.9544385655496765,,,s45_f1,45.0,1.0,2167.0
lemmatized,LinearSVM,0.9224734656206738,0.9118804091266719,0.9539094650205762,0.9324215607401448,0.9506596465746794,,,s45_f2,45.0,2.0,2167.0
lemmatized,LinearSVM,0.9243193354868482,0.9076803723816912,0.9629629629629629,0.9345047923322684,0.951173185323512,,,s45_f3,45.0,3.0,2167.0
lemmatized,LinearSVM,0.9197046608214121,0.905616224648986,0.9563426688632619,0.9302884615384616,0.9485125442762041,,,s45_f4,45.0,4.0,2167.0
lemmatized,LinearSVM,0.9123616236162362,0.8933231005372217,0.9580246913580247,0.9245432883240667,0.9433420128768153,,,s46_f0,46.0,0.0,2168.0
